TOPIC,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
hypermedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,2,5,8,1,8,1,2,2,1,2,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hypermedia systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,2,5,8,1,8,1,2,2,1,2,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
intelligent agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,5,0,1,3,0,2,1,0,4,2,2,6,2,2,0,2,1,5,3,1,4
requirement engineering,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,0,2,2,1,1,0,2,1,3,4,3,5,0,1,1,2,3,1,0,1,3,0,0,2,2,1,1,0,0
multimedia systems,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,1,1,0,3,2,0,1,3,1,2,3,1,3,2,1,0,4,6,1,1,2,2,1,2,0
groupware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,1,1,9,2,3,0,3,0,4,0,4,2,0,0,0,4,1,0,0,2,1
automata theory,4,0,2,1,2,2,3,2,4,0,1,1,1,0,2,1,3,0,0,1,2,1,1,2,1,0,4,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
embedded software,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,3,2,0,1,0,1,1,1,1,0,0,3,3,1,2,1,1,1,0,1,3,1,4,0,2,1,3,0,2,2
embedded,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,3,2,0,1,0,1,1,1,1,0,0,3,3,1,2,1,1,1,0,1,3,1,4,0,2,1,3,0,2,2
information management,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,2,1,1,0,1,7,2,2,1,0,0,1,0,0,3,5,2,1,2,1,0,2,0,2,1,0,0
cognitive science,2,1,4,2,2,8,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,3,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0
access control,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,1,0,1,0,0,1,0,1,0,1,0,2,1,0,1,0,0,0,0,6,0,4,0,2,1,1,3,3,0,1,1,3,2
engineering design,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,1,1,1,2,0,4,0,1,0,3,2,1,0,1,5,2,1,1,5,2,0,0,0,2,1,3,2
optical fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,1,1,4,1,1,2,0,1,3,1,3,3,1,0,1,2,1,0,3,3,0,1,1,0,2,0,0,0,0,2,2
virtual machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,5,1,1,3,2,8,1,2,1,2,2,2,0,4,1,1,3,0
operating system,1,0,0,1,0,0,0,0,1,2,0,1,3,0,0,1,2,5,4,2,3,2,1,2,4,1,0,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0
decision theory,0,0,0,0,1,0,0,1,1,1,1,3,0,0,1,1,0,1,5,0,1,1,2,5,4,0,1,0,2,0,1,1,2,0,1,0,0,4,0,0,0,0,1,0,1,0,1,0,1,0
engineering design process,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,1,1,1,1,0,4,0,1,0,3,2,1,0,1,5,1,1,1,5,2,0,0,0,2,1,3,2
remote control,0,2,0,0,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,2,3,0,1,2,0,1,0,0,3,3,1,0,2,0,4,0,1,0,1,1,2,1,1,1,2
engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,1,1,4,1,1,2,0,1,3,1,3,3,1,0,1,2,1,0,2,3,0,1,1,0,2,0,0,0,0,1,1
microprocessor chips,1,0,0,0,0,1,0,1,1,0,4,0,5,2,3,0,0,0,0,0,1,1,2,1,0,1,1,1,1,0,0,2,3,0,2,1,0,2,1,0,1,0,1,0,0,0,3,0,1,0
verification,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,1,0,0,1,2,2,2,1,2,3,10,1,4,0,0,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
game theory,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,5,0,1,0,0,3,0,0,3,3,2,0,1,2,0,2,1,2,3,3,2
hierarchical system,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1,0,2,1,1,2,1,1,2,2,0,0,1,0,0,2,1,0,1,0,0,3,2,2,1,0,0,1,4,1,3,0,0,0
handicapped persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,1,2,1,0,1,2,3,1,1,0,0,2,3,1,1,1,4,4,8
architecting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,2,2,4,1,1,1,2,7,1,1,1,0,0,1,1,0,2,1,1,0,0,0,1,2,1,2,0,0,1
image enhancement,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0,2,2,0,0,0,2,0,0,0,1,0,2,0,1,1,0,2,1,1,4,1,3,1,2,2,2,1,0
semantic web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,3,0,3,2,1,1,7,1,2,1,2,1,7,1,1,0,0,0
haptic interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,2,5,2,1,2,1,2,4,2,5,5,4
data visualization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,7,0,1,2,2,3,0,4,0,1,0,2,2,4,1,1,2,2,1
cognitive model,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,2,1,1,2,3,1,3,1,1,1,1,1,1,4,2,1,0,0,0,1,1,2,0,0,0,0,0,3,0,1,0
hypertext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,1,4,5,1,5,0,1,2,1,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
petri net,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,2,1,3,0,4,0,0,3,2,1,2,1,2,1,0,0,3,0,0,1,1,0,0,0,2,3,0,0,1
debuggers,0,0,0,0,0,1,1,0,2,0,1,1,0,2,1,2,1,2,2,0,3,3,2,1,1,3,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
recommender system,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,1,1,2,1,0,5,2,0,2,2,4,1,5,3
planar graph,0,0,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,3,2,1,2,5,2,0,1,3,3,1,1,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0
debugging,0,0,0,0,0,1,1,0,2,0,1,1,0,2,1,2,1,2,2,0,3,3,2,1,1,2,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
haptic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,2,5,2,1,1,1,2,4,2,5,5,4
formal method,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,3,3,2,1,0,0,3,5,3,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1,1,1,1
text processing,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,2,1,5,2,1,0,0,0,1,3,1,0,0,2,0,1,1,0,3,0,2,1,0,1,2,0,2,1
network security,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,5,2,5,0,2,2,2,3,0,1,2,1,1,3
multicast,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2,1,0,0,1,2,3,1,0,0,3,3,1,1,1,3,3,1,0,0,1,3
usability testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,3,4,0,3,2,1,5,1,1,1,1,2,0,1,1,2,2,2,1
feedback system,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,2,0,0,4,0,1,1,0,0,0,1,0,1,1,0,2,1,0,3,0,1,1,1,2,0,4,1,4
human computer interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,0,3,0,3,2,1,1,1,2,1,2,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
video game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,1,2,5,5,16
personalization,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,1,0,2,1,1,1,7,2,0,0,0,5,3,4,3
data fusion,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,4,1,2,2,0,1,2,2,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,2,0,1,3,0,3
antenna,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,1,2,1,1,1,1,0,0,2,2,1,0,2,1,1,0,1,0,2,3,0,1,0,2,3
learning outcome,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,2,1,2,0,2,2,2,1,1,1,1,2,1,0,5,1,0,1
design knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,7,1,0,3,1,1,0,1,0,2,1,0,3,1,0,0,3,1,0,1,0,2,1
security systems,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,1,0,1,0,0,1,0,1,0,0,1,3,1,0,1,0,0,1,0,2,1,2,0,1,0,2,3,2,1,0,0,1,1
architecture knowledge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,2,1,3,4,2,3,1,0,0,1,1,2,1,4,0,0,0,0,0,1,0,0,0,1,0
software systems,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,1,2,2,2,1,2,2,2,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0
translation (languages),3,0,2,1,2,1,3,0,4,0,0,0,0,0,2,0,3,0,0,0,2,1,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
image quality,0,1,0,1,2,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,7,0,0,0,0,0,2,1,0,0
fpga,0,0,0,1,0,0,1,2,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,3,1,3,0,0,1,0,3,0,0,2,0,0,0,0,2,0,0,1,1,0,1,1
object oriented,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,11,2,1,0,1,2,5,3,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
computer aided,0,0,1,0,6,1,0,0,1,0,0,0,1,3,0,1,2,2,0,1,1,3,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
information visualization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,7,0,1,2,2,3,0,2,0,1,0,2,0,4,0,1,1,2,1
clustering,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,1,3,3,1,1,1,1,0,1,0,1,0,0,2,0,0,2,2,0,1,0,1,0,1,1,1,1,1,0
architecture verification and validation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,3,1,0,1,2,4,1,1,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,0,0,1
display devices,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,1,1,0,0,1,1,1,3,4,5,0
context aware,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,1,2,2,0,2,2,1,0,0,1,0,2,2,2,0,2,3
telephone sets,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,1,2,1,1,1,5,3,5,6
affective computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,4,3,3,2,2,1,0,3,2,0,0,1
model checking,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,3,1,0,1,2,4,1,1,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,0,0,1
interaction technique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,1,1,2,3,1,3,4,1,1,0,0,4,2
neural network,0,0,0,1,2,1,5,0,0,0,0,2,1,0,0,0,2,0,0,0,1,2,2,1,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
relational database,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,1,2,4,3,0,0,0,3,1,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visualization tools,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,2,0,2,1,0,1,4,0,1,0,2,0,3,3,0,2,1,1
image retrieval,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,3,1,1,0,2,2,2,1,0
network architecture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,2,0,0,2,1,2,1,1,1,1,2,1,2,1,1,0,0,0,0,0,1,1,1,1,2,0
social media,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,1,0,2,0,2,3,5,4,4,2
source code,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,2,1,2,0,2,3,1,0,0,0,4,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
computer software maintenance,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,1,2,2,2,1,2,2,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
web application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,2,0,2,0,3,3,1,2,2,1,1,2,1,0,1,1,0
cooperative work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,8,2,1,0,2,0,2,0,1,1,0,0,0,2,0,0,0,1,0
internet protocol,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,2,1,3,1,1,1,2,2,1,1,0,2,2
augmented reality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,3,1,4,2,0,3,1,2,4,3
broadband networks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,3,1,0,2,0,1,0,1,0,0,2,0,1,1,3,2
game design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,3,4,14
bayesian network,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,3,0,1,2,0,5,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,2
machine design,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,2,1,2,3,5,1,2,3
architectural style,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,3,2,0,1,1,2,2,0,0,0,2,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
user centered design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,1,0,2,1,1,1,0,0,1,2,0,1,2,0,2,2,1,3
electronic mail,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,3,1,2,1,0,2,2,1,1,1,0,1,0,2,0,1,0,0,1,0,0,2
heuristic evaluation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,2,1,2,1,1,2,1,0,2,1,3,2,0,0,2,0
architecture types,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,5,1,2,0,1,0,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0
quality of service,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,2,1,1,2,2,2,1,0,0,1,3
cluster analysis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,3,1,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,2,0,2,1,0,0
expert knowledge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,9,2,1,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
imaging systems,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,6,0,1,1,3,0,1,0,2,0
face recognition,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,3,1,2,0,1,1,1,2,0,1,1,0,2
parsing,0,0,0,0,0,1,2,1,2,0,1,1,0,2,2,1,1,1,0,1,1,1,1,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design decisions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,2,1,1,3,2,2,1,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0
fuzzy classifier,0,0,0,0,0,1,0,3,1,0,6,3,4,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
program processors,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,2,0,2,1,0,2,1,0,1,0,0,0,0,0,2,0,0,0
personal information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,2,3,0,0,0,0,0,6,1,1,1,3,2
mergers and acquisitions,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,2,3,2,3,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
radio,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,5,2,1,2,0,2,0,0,0,1,1
routing,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,2,2,2,1,0,0,3,2
bit error rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,2,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
fading (radio),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,2,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
object recognition,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,3,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,2,0,1,1,0,1,0,1
nonlinear control systems,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,1,1,0,2,1,0,1,0,0,1,0,1,0,2,0,2
cognitive process,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,3,0,0,1,1,1,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,1,1,2,1
smartphone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4,3,5,6
business process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,2,2,1,1,0,1,0,1,1,1,1,0,0,2,0,1,1,1,2,0,0,0
management information systems,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,1,1,1,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
signal receivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,0,2,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
web usability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,2,3,1,1,2,1,1
human operator,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
requirements document,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,1,0,2,0,2,0,0,1,1,2,1,0,0,2,0,0,0,2,1,0,0,0
local area networks,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,1,1,2,2,1,0,0,2,3
web accessibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,1,2,1,1,0,0,1,2,0,0,1,2,0,4
wireless technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,2,1,5,2,1,1,1,1,0,0,0,2,1
humanoid robot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,2,2,3,5,0,2,3
manipulator,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,3,0,0,2,1,0,1,0,1,1,2
bayesian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,1,1,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,2
adaptive system,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,5,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
telecommunication equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,2,2,1,3,0,1,1,1,2,1,2
range finders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
ranging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
code division multiple access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
ultra wideband,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
multipath propagation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
range finding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,0,2,2
decision tree,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0
collaborative learning,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,1,1,2,0,0,0,3,3,1,1,0,0,1
dempster-shafer,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,4,1,2,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
